Line Code,Direction,Station Code,Station ID,Chinese Name,English Name,Sequence
KTL,DT,KOB,13,九龍灣,Kowloon Bay,6
KTL,DT,CHH,12,彩虹,Choi Hung,7
KTL,DT,DIH,11,鑽石山,Diamond Hill,8
KTL,DT,WTS,10,黃大仙,Wong Tai Sin,9
KTL,DT,LOF,9,樂富,Lok Fu,10
KTL,DT,KOT,8,九龍塘,Kowloon Tong,11
KTL,DT,SKM,7,石硤尾,Shek Kip Mei,12
KTL,DT,PRE,16,太子,Prince Edward,13
KTL,DT,MOK,6,旺角,Mong Kok,14
KTL,DT,YMT,5,油麻地,Yau Ma Tei,15
KTL,DT,HOM,84,何文田,Ho Man Tin,16
KTL,DT,WHA,85,黃埔,Whampo,17
TML,UT,WKS,103,烏溪沙,Wu Kai Sha,1
TML,UT,MOS,102,馬鞍山,Ma On Shan,2
TML,UT,HEO,101,恆安,Heng On,3
TML,UT,TSH,100,大水坑,Tai Shui Hang,4
TML,UT,SHM,99,石門,Shek Mun,5
TML,UT,CIO,98,第一城,City One,6
TML,UT,STW,97,沙田圍,Sha Tin Wai,7
TML,UT,CKT,96,車公廟,Che Kung Temple,8
TML,UT,TAW,67,大圍,Tai Wai,9
TML,UT,HIK,90,顯徑,Hin Keng,10
TML,UT,DIH,11,鑽石山,Diamond Hill,11
TML,UT,KAT,91,啟德,Kai Tak,12
TML,UT,SUW,92,宋皇臺,Sung Wong Toi,13
TML,UT,TKW,93,土瓜灣,To Kwa Wan,14
TML,UT,HOM,84,何文田,Ho Man Tin,15
TML,UT,HUH,64,紅磡,Hung Hom,16
TML,UT,ETS,80,尖東,East Tsim Sha Tsui,17
TML,UT,AUS,111,柯士甸,Austin,18
TML,UT,NAC,53,南昌,Nam Cheong,19
TML,UT,MEF,20,美孚,Mei Foo,20
TML,UT,TWW,114,荃灣西,Tsuen Wan West,21
TML,UT,KSR,115,錦上路,Kam Sheung Road,22
TML,UT,YUL,116,元朗,Yuen Long,23
TML,UT,LOP,117,朗屏,Long Ping,24
TML,UT,TIS,118,天水圍,Tin Shui Wai,25
TML,UT,SIH,119,兆康,Siu Hong,26
TML,UT,TUM,120,屯門,Tuen Mun,27
TCL,DT,TUC,43,東涌,Tung Chung,1
TCL,DT,SUN,54,欣澳,Sunny Bay,2
TCL,DT,TSY,42,青衣,Tsing Yi,3
TCL,DT,LAK,21,茘景,Lai King,4
TCL,DT,NAC,53,南昌,Nam Cheong,5
TCL,DT,OLY,41,奧運,Olympic,6
TCL,DT,KOW,40,九龍,Kowloon,7
TCL,DT,HOK,39,香港,Hong Kong,8
TKL,DT,POA,52,寶琳,Po Lam,1
TKL,DT,HAH,51,坑口,Hang Hau,2
TKL,DT,TKO,50,將軍澳,Tseung Kwan O,3
TKL,DT,TIK,49,調景嶺,Tiu Keng Leng,4
TKL,DT,YAT,48,油塘,Yau Tong,5
TKL,DT,QUB,32,鰂魚涌,Quarry Bay,6
TKL,DT,NOP,31,北角,North Point,7
TWL,DT,TSW,25,荃灣,Tsuen Wan,1
TWL,DT,TWH,24,大窩口,Tai Wo Hau,2
TWL,DT,KWH,23,葵興,Kwai Hing,3
TWL,DT,KWF,22,葵芳,Kwai Fong,4
TWL,DT,LAK,21,茘景,Lai King,5
TWL,DT,MEF,20,美孚,Mei Foo,6
TWL,DT,LCK,19,茘枝角,Lai Chi Kok,7
TWL,DT,CSW,18,長沙灣,Cheung Sha Wan,8
TWL,DT,SSP,17,深水埗,Sham Shui Po,9
TWL,DT,PRE,16,太子,Prince Edward,10
TWL,DT,MOK,6,旺角,Mong Kok,11
TWL,DT,YMT,5,油麻地,Yau Ma Tei,12
TWL,DT,JOR,4,佐敦,Jordan,13
TWL,DT,TST,3,尖沙咀,Tsim Sha Tsui,14
TWL,DT,ADM,2,金鐘,Admiralty,15
TWL,DT,CEN,1,中環,Central,16
SIL,UT,ADM,2,金鐘,Admiralty,1
SIL,UT,OCP,86,海洋公園,Ocean Park,2
SIL,UT,WCH,87,黃竹坑,Wong Chuk Hang,3
SIL,UT,LET,88,利東,Lei Tung,4
SIL,UT,SOH,89,海怡半島,South Horizons,5
